"countryName_Destination";"Notes.x";"ISO3.x";"Type.of.data..a.";"Origin";"nbMigrants";"Notes.y";"ISO3.y"
"Kenya";"";"KEN";"B R";"Albania";0;"";"ALB"
"Madagascar";"";"MDG";"C";"Albania";0;"";"ALB"
"Malawi";"";"MWI";"B R";"Albania";0;"";"ALB"
"Mauritius";"-1";"MUS";"C";"Albania";0;"";"ALB"
"Mayotte";"";"MYT";"B";"Albania";0;"";"ALB"
"Mozambique";"";"MOZ";"B R";"Albania";0;"";"ALB"
"Réunion";"";"REU";"B";"Albania";0;"";"ALB"
"Rwanda";"";"RWA";"B R";"Albania";0;"";"ALB"
"Seychelles";"";"SYC";"B";"Albania";0;"";"ALB"
"Somalia";"";"SOM";"I R";"Albania";0;"";"ALB"
"South Sudan";"";"SSD";"B R";"Albania";0;"";"ALB"
"Uganda";"";"UGA";"B R";"Albania";0;"";"ALB"
"United Republic of Tanzania";"-2";"TZA";"B R";"Albania";0;"";"ALB"
"Zambia";"";"ZMB";"B R";"Albania";0;"";"ALB"
"Zimbabwe";"";"ZWE";"B R";"Albania";0;"";"ALB"
"Angola";"";"AGO";"B R";"Albania";0;"";"ALB"
"Cameroon";"";"CMR";"B";"Albania";0;"";"ALB"
"Central African Republic";"";"CAF";"C";"Albania";0;"";"ALB"
"Chad";"";"TCD";"B R";"Albania";0;"";"ALB"
"Congo";"";"COG";"B";"Albania";0;"";"ALB"
"Democratic Republic of the Congo";"";"COD";"B R";"Albania";0;"";"ALB"
"Equatorial Guinea";"";"GNQ";"C";"Albania";0;"";"ALB"
"Gabon";"";"GAB";"C";"Albania";0;"";"ALB"
"Sao Tome and Principe";"";"STP";"C";"Albania";0;"";"ALB"
"Algeria";"";"DZA";"C R";"Albania";0;"";"ALB"
"Egypt";"";"EGY";"B R";"Albania";134;"";"ALB"
"Libya";"";"LBY";"C";"Albania";301;"";"ALB"
"Morocco";"";"MAR";"C";"Albania";0;"";"ALB"
"Sudan";"-3";"SDN";"B R";"Albania";0;"";"ALB"
"Tunisia";"";"TUN";"C";"Albania";0;"";"ALB"
"Western Sahara";"";"ESH";"I";"Albania";0;"";"ALB"
"Botswana";"";"BWA";"C";"Albania";0;"";"ALB"
"Lesotho";"";"LSO";"C R";"Albania";0;"";"ALB"
"Namibia";"";"NAM";"B";"Albania";0;"";"ALB"
"South Africa";"";"ZAF";"B R";"Albania";164;"";"ALB"
"Swaziland";"";"SWZ";"B R";"Albania";0;"";"ALB"
"Benin";"";"BEN";"C B R";"Albania";0;"";"ALB"
"Burkina Faso";"";"BFA";"B R";"Albania";0;"";"ALB"
"Cabo Verde";"";"CPV";"B";"Albania";0;"";"ALB"
"Côte d'Ivoire";"";"CIV";"C B";"Albania";0;"";"ALB"
"Gambia";"";"GMB";"B";"Albania";0;"";"ALB"
"Ghana";"";"GHA";"B";"Albania";0;"";"ALB"
"Guinea";"";"GIN";"C R";"Albania";0;"";"ALB"
"Guinea-Bissau";"";"GNB";"B R";"Albania";0;"";"ALB"
"Liberia";"";"LBR";"B";"Albania";0;"";"ALB"
"Mali";"";"MLI";"B R";"Albania";0;"";"ALB"
"Mauritania";"";"MRT";"C R";"Albania";0;"";"ALB"
"Niger";"";"NER";"B R";"Albania";0;"";"ALB"
"Nigeria";"";"NGA";"C R";"Albania";0;"";"ALB"
"Saint Helena";"-4";"SHN";"B";"Albania";0;"";"ALB"
"Senegal";"";"SEN";"B R";"Albania";0;"";"ALB"
"Sierra Leone";"";"SLE";"B R";"Albania";0;"";"ALB"
"Togo";"";"TGO";"C R";"Albania";0;"";"ALB"
"Kazakhstan";"";"KAZ";"B";"Albania";0;"";"ALB"
"Kyrgyzstan";"";"KGZ";"B";"Albania";0;"";"ALB"
"Tajikistan";"";"TJK";"B";"Albania";0;"";"ALB"
"Turkmenistan";"";"TKM";"B";"Albania";0;"";"ALB"
"Uzbekistan";"";"UZB";"B";"Albania";0;"";"ALB"
"China";"-5";"CHN";"C";"Albania";0;"";"ALB"
"China, Hong Kong Special Administrative Region";"-6";"HKG ";"B";"Albania";0;"";"ALB"
"China, Macao Special Administrative Region";"-7";"MAC";"B";"Albania";0;"";"ALB"
"Democratic People's Republic of Korea";"";"PRK";"I";"Albania";0;"";"ALB"
"Japan";"";"JPN";"C";"Albania";0;"";"ALB"
"Mongolia";"";"MNG";"C";"Albania";0;"";"ALB"
"Republic of Korea";"";"KOR";"C";"Albania";0;"";"ALB"
"Brunei Darussalam";"";"BRN";"B";"Albania";0;"";"ALB"
"Cambodia";"";"KHM";"B";"Albania";0;"";"ALB"
"Indonesia";"";"IDN";"B R";"Albania";0;"";"ALB"
"Lao People's Democratic Republic";"";"LAO";"C R";"Albania";0;"";"ALB"
"Malaysia";"-8";"MYS";"C R";"Albania";0;"";"ALB"
"Myanmar";"";"MMR";"C";"Albania";0;"";"ALB"
"Philippines";"";"PHL";"C R";"Albania";116;"";"ALB"
"Singapore";"";"SGP";"B";"Albania";0;"";"ALB"
"Thailand";"";"THA";"B R";"Albania";0;"";"ALB"
"Timor-Leste";"";"TLS";"B";"Albania";0;"";"ALB"
"Viet Nam";"";"VNM";"C R";"Albania";0;"";"ALB"
"Afghanistan";"";"AFG";"B";"Albania";0;"";"ALB"
"Bangladesh";"";"BGD";"B R";"Albania";0;"";"ALB"
"Bhutan";"";"BTN";"B";"Albania";0;"";"ALB"
"India";"";"IND";"B R";"Albania";0;"";"ALB"
"Iran (Islamic Republic of)";"";"IRN";"B R";"Albania";0;"";"ALB"
"Maldives";"";"MDV";"C R";"Albania";0;"";"ALB"
"Nepal";"";"NPL";"B R";"Albania";0;"";"ALB"
"Pakistan";"";"PAK";"B R";"Albania";0;"";"ALB"
"Sri Lanka";"";"LKA";"B R";"Albania";0;"";"ALB"
"Armenia";"";"ARM";"B R";"Albania";0;"";"ALB"
"Azerbaijan";"-9";"AZE";"B R";"Albania";0;"";"ALB"
"Bahrain";"";"BHR";"C";"Albania";0;"";"ALB"
"Cyprus";"-10";"CYP";"B";"Albania";309;"";"ALB"
"Georgia";"-11";"GEO";"B";"Albania";0;"";"ALB"
"Iraq";"";"IRQ";"C R";"Albania";0;"";"ALB"
"Israel";"";"ISR";"B R";"Albania";0;"";"ALB"
"Jordan";"";"JOR";"C R";"Albania";0;"";"ALB"
"Kuwait";"";"KWT";"C R";"Albania";0;"";"ALB"
"Lebanon";"";"LBN";"B R";"Albania";0;"";"ALB"
"Oman";"";"OMN";"C";"Albania";0;"";"ALB"
